row,target,prediction,exact_match,is_homophone,n_subs,n_resolved_by_grammar,homophone_subs,near_homophone_subs,other_subs,grammar_explanations
474,THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER,False,False,1,0,0,0,1,
475,AND YOU KNOW THAT,AND YOU KNOW THAT,True,True,0,0,0,0,0,
476,WE HAVE THE DELECTABLE NEIL JONES,WE HAVE THE DELICATE ALUMNI,False,True,2,0,0,0,2,
477,THAT WAS SOME TIME AGO,THAT WAS SOME TIME AGO,True,True,0,0,0,0,0,
478,REAL FRIENDS THAT CARE ABOUT ME,REAL FRIENDS THAT CARE ABOUT ME,True,True,0,0,0,0,0,
479,CLEARLY THEY DO,CLEARLY THEY DO,True,True,0,0,0,0,0,
480,YOU DON'T NEED IT,YOU DON'T NEED IT,True,True,0,0,0,0,0,
481,THE REASON BEING,THE REASON BEING,True,False,0,0,0,0,0,
482,THE PRESIDENT'S CHAIR,THE PRESIDENT'S CHAIR,True,False,0,0,0,0,0,
483,NOT TO THINK FOR THEMSELVES,NOT TO THINK FOR THEMSELVES,True,True,0,0,0,0,0,
484,WITH MY BLESSING,WITH MY BLESSING,True,False,0,0,0,0,0,
485,THAT'S THE MESSAGE FROM INDEPENDENT ECONOMISTS AFTER THE CHANCELLOR'S AUTUMN STATEMENT,THAT'S THE MESSAGE FROM INDEPENDENT ECONOMISTS AFTER THE CHANCELLOR'S AUTUMN STATEMENT,True,False,0,0,0,0,0,
486,AND WITH THAT IN MIND,AND WITH THAT IN MIND,True,True,0,0,0,0,0,
487,HIS FATHER DIED,HIS FATHER DIED,True,True,0,0,0,0,0,
488,NOT JUST HERE IN NOTTINGHAMSHIRE,NOT JUST HERE IN NOTTINGHAMSHIRE,True,True,0,0,0,0,0,
489,BUT IT SEEMS THE PENDANT IS TO EVERYONE'S PERSONAL TASTE,BUT IT SEEMS THE PENDANT IS TO EVERYONE'S PERSONAL TASTE,True,True,0,0,0,0,0,
490,IT'S TIME TO FIND OUT IF NIGEL,IT'S TIME TO FIND OUT IF NIGEL,True,True,0,0,0,0,0,
491,REMEMBER THAT MAN WITH THE CAMERA,REMEMBER THAT MAN WITH THE CAMERA,True,False,0,0,0,0,0,
492,AND YOU CAN FOLLOW US,AND YOU CAN FOLLOW US,True,True,0,0,0,0,0,
493,BUT IT'S NOT ALL BAD NEWS,BUT IT'S NOT ALL BAD NEWS,True,True,0,0,0,0,0,
494,I DO KNOW WHAT IT MEANS,I DO KNOW WHAT IT MEANS,True,True,0,0,0,0,0,
495,AFTER ALL I'VE BEEN THROUGH,AFTER ALL I'VE BEEN THROUGH,True,True,0,0,0,0,0,
496,I WANT TO TALK ABOUT DADDY TOO,I WANT TO TALK ABOUT DADDY TO,False,True,1,0,1,0,0,
497,EVERYONE WAS BLOWN AWAY,EVERYONE WAS BLOWN AWAY,True,False,0,0,0,0,0,
498,WE STILL HAVE ALL OF THIS TO COME,WE STILL HAVE ALL OF THIS TO COME,True,True,0,0,0,0,0,
499,I WANT TO TAKE A SELFIE,I WANT TO TAKE A SELFIE,True,True,0,0,0,0,0,
500,RESCUING A DAMSEL IN DISTRESS,RESCUING A DAMSEL IN DISTRESS,True,True,0,0,0,0,0,
501,ALL OF THAT COULD CHANGE,ALL OF THAT COULD CHANGE,True,False,0,0,0,0,0,
502,BUT WHAT EXACTLY IS IT,BUT WHAT EXACTLY IS IT,True,True,0,0,0,0,0,
503,HOW DOES IT WORK,HOW DOES IT WORK,True,False,0,0,0,0,0,
504,THERE'S ALWAYS HISTORICAL TREASURES TO LOOK AT,THERE'S ALWAYS HISTORICAL TREASURES TO LOOK AT,True,True,0,0,0,0,0,
505,FAST AND FURIOUS,FAST AND FURIOUS,True,False,0,0,0,0,0,
506,AND LATER IN TURN,AND LATER IN TURN,True,True,0,0,0,0,0,
507,HE MOVED AROUND A LOT,HE MOVED AROUND A LOT,True,False,0,0,0,0,0,
508,AS IS THE TITLE OF THIS POEM,AS IS THE TITLE OF THIS POEM,True,False,0,0,0,0,0,
509,FOUR KILOMETRES WITHOUT EVEN REALLY THINKING ABOUT IT,FOUR KILOMETRES WITHOUT EVEN REALLY THINKING ABOUT IT,True,True,0,0,0,0,0,
510,IN THE HIGHWAY CODE ITSELF,IN THE HIGHWAY CODE ITSELF,True,True,0,0,0,0,0,
511,SO IN THE MEANTIME,SO IN THE MEANTIME,True,True,0,0,0,0,0,
512,THROUGH ANTIBODY DIRECTED THERAPY,THROUGH ANTIBODY DIRECTED THERAPY,True,True,0,0,0,0,0,
513,AND I FEEL VERY,AND I FEEL VERY,True,True,0,0,0,0,0,
514,I'M YOUR SIMON COWELL,I'M YOUR SIMON COWELL,True,False,0,0,0,0,0,
515,I JUST CAN'T SEEM TO WIN,I JUST CAN'T SEEM TO WIN,True,True,0,0,0,0,0,
516,IT'LL BE A BRILLIANT SUCCESS,IT'LL BE A BRILLIANT SUCCESS,True,True,0,0,0,0,0,
517,HE RETRIEVED THE FLAG,HE RETRIEVED THE FLAG,True,False,0,0,0,0,0,
518,I'M STRUGGLING WITH THAT ONE,I'M STRUGGLING WITH THAT ONE,True,True,0,0,0,0,0,
519,HE'S A LATIN SENSATION,HE'S A LATIN SENSATION,True,False,0,0,0,0,0,
520,BORN INTO A FAMILY OF DANCERS,BORN INTO A FAMILY OF DANCERS,True,True,0,0,0,0,0,
521,I MADE A FEW CALLS,I MADE A FEW CALLS,True,True,0,0,0,0,0,
522,AS WELL AS THE GREEN MAN,AS WELL AS THE GREEN MAN,True,False,0,0,0,0,0,
523,THIS IS EXTREMELY RARE AND VALUABLE,THIS IS EXTREMELY RARE AND VALUABLE,True,False,0,0,0,0,0,
524,NOT FOR SUBJECT MATTER,NOT FOR SUBJECT MATTER,True,True,0,0,0,0,0,
525,I HASTEN TO ADD,I HESITANT TO AD,False,True,2,0,1,0,1,
526,HERE ON THE DAY,HERE ON THE DAY,True,True,0,0,0,0,0,
527,BUT I FELT HE WAS EXPOSED,BUT I FELT HE WAS EXPOSED,True,True,0,0,0,0,0,
528,AND YOU AND HIM,AND YOU AND HIM,True,True,0,0,0,0,0,
529,WILL APPEAR IN COURT NEXT MONTH,WILL APPEAR IN COURT NEXT MONTH,True,True,0,0,0,0,0,
530,AND THE CHAMPAGNE,AND THE CHAMPAGNE,True,False,0,0,0,0,0,
531,BEFORE WE BRING ON OUR NEXT CONTENDER,BEFORE WE BRING ON OUR NEXT CONTENDER,True,True,0,0,0,0,0,
532,IF YOU'VE GOT A QUESTION FOR EITHER OF THEM,IF YOU'VE GOT A QUESTION FOR EITHER OF THEM,True,True,0,0,0,0,0,
533,SO TO DO BALLROOM,SO TO DO BALLROOM,True,True,0,0,0,0,0,
534,I AM THE ULTIMATE POWER,I AM THE ULTIMATE POWER,True,True,0,0,0,0,0,
535,IT IS THE QUARTER FINALS,IT IS THE QUARTER FINALS,True,False,0,0,0,0,0,
536,WE HAD A BLAZING ROW,WE HAD A BLAZING ROW,True,True,0,0,0,0,0,
537,THE FAMILY SEAT,THE FAMILY SEAT,True,False,0,0,0,0,0,
538,PLEASE WELCOME JENNY ECLAIR,PLEASE WELCOME GENIE CLARKE,False,False,2,0,0,0,2,
539,IT'S A MOVIE THEME,IT'S A MOVIE THEME,True,False,0,0,0,0,0,
540,THEY HAVE NO IDEA WHAT TO EXPECT,THEY HAVE NO IDEA WHAT TO EXPECT,True,True,0,0,0,0,0,
541,TWO AND A HALF MINUTES FOR THAT ROUND,TWO AND A HALF MINUTES FOR THAT ROUND,True,True,0,0,0,0,0,
542,I'M NOT SATISFIED,I'M NOT SATISFIED,True,True,0,0,0,0,0,
543,IT'S ON OUR CABLE PACKAGE,IT'S ON OUR CABLE PACKAGE,True,True,0,0,0,0,0,
544,WHEN WE SEE HIM,WHEN WE SEE HIM,True,True,0,0,0,0,0,
545,YOU WANT ME TO BE HAPPY,YOU WANT ME TO BE HAPPY,True,True,0,0,0,0,0,
546,WHAT SEASON WAS THAT,WHAT SEASON WAS THAT,True,False,0,0,0,0,0,
547,NO FOOD LEFT OUT,NO FOOD LEFT OUT,True,True,0,0,0,0,0,
548,I'LL MEET YOU AT THE PARTY,I'LL MEET YOU AT THE PARTY,True,True,0,0,0,0,0,
549,PROBABLY IN THE WORLD,PROBABLY IN THE WORLD,True,True,0,0,0,0,0,
550,I'M REALLY LOOKING FORWARD TO THIS,I'M REALLY LOOKING FORWARD TO THIS,True,True,0,0,0,0,0,
551,AND IT'S EVEN RARER TO FIND ONE THAT HASN'T BEEN DUG INTO BY ANTIQUARIANS,AND IT'S EVEN RARER TO FIND ONE THAT HASN'T BEEN DUG INTO BY ANTIQUARIANS,True,True,0,0,0,0,0,
552,WHAT WE'VE GOT HERE IS AN OPPORTUNITY TO UNDERSTAND ONE OF THESE MONUMENTS IN A MODERN,WHAT WE'VE GOT HERE IS AN OPPORTUNITY TO UNDERSTAND ONE OF THESE MONUMENTS IN A MODERN,True,True,0,0,0,0,0,
553,AND PEOPLE LIVING,AND PEOPLE LIVING,True,False,0,0,0,0,0,
554,IT'S ABOUT THE DEAD,IT'S ABOUT THE DEAD,True,False,0,0,0,0,0,
555,A PURIFICATION CEREMONY,A PURIFICATION CEREMONY,True,False,0,0,0,0,0,
556,IT'S ALMOST AN OLD PERSON,IT'S ALMOST AN OLD PERSON,True,True,0,0,0,0,0,
557,AND THIS MIGHT BE,AND THIS MIGHT BE,True,True,0,0,0,0,0,
558,EVERY SINGLE PERSON,EVERY SINGLE PERSON,True,False,0,0,0,0,0,
559,THAT'S THE BEST KIND OF TEACHING,THAT'S THE BEST KIND OF TEACHING,True,False,0,0,0,0,0,
560,I HAD A GREAT TIME,I HAD A GREAT TIME,True,True,0,0,0,0,0,
561,THAT'S WHAT CHILD SUPPORT SERVICES DOES,THAT'S WHAT CHILD SUPPORT SERVICES DOES,True,False,0,0,0,0,0,
562,NICOLA IS DEFINITELY THE LOVE OF MY LIFE,NICOLE IS DEFINITELY THE LOVE OF MY LIFE,False,False,1,0,0,0,1,
563,SHE'S MY JULIET,SHE'S MY JULIET,True,False,0,0,0,0,0,
564,THE ROCHELLE TO MY MARVIN,THE ROSEHELLE TO MY MERVYN,False,True,2,0,0,0,2,
565,I GUESS I'M AFRAID,I GUESS I'M AFRAID,True,True,0,0,0,0,0,
566,I LIKE SPENDING TIME WITH HIM,I LIKE SPENDING TIME WITH HIM,True,True,0,0,0,0,0,
567,AND IT IS A SERVICE,AND IT IS A SERVICE,True,False,0,0,0,0,0,
568,SHE'S GOT THE BEST TOP LINE IN THE BUSINESS,SHE'S GOT THE BEST TOPLINE IN THE BUSINESS,False,True,1,0,0,0,1,
569,SO I DON'T KNOW,SO I DON'T KNOW,True,True,0,0,0,0,0,
570,THAT'S WHAT YOU SAID,THAT'S WHAT YOU SAID,True,True,0,0,0,0,0,
571,IT'S JUST A NAME,IT'S JUST A NAME,True,False,0,0,0,0,0,
572,I'VE BEEN WAXED,I'VE BEEN WACKED,False,True,1,0,0,0,1,
573,TALK ABOUT SMART,TALK ABOUT SMART,True,False,0,0,0,0,0,
574,MY LITTLE BOY IS,MY LITTLE BOY IS,True,False,0,0,0,0,0,
575,I'M GETTING OLDER,I'M GETTING OLDER,True,False,0,0,0,0,0,
576,I'LL BE POPPING IN EACH EVENING,I'LL BE POPPING IN EACH EVENING,True,True,0,0,0,0,0,
577,BUT SHE'S NOT CONFUSED,BUT SHE'S NOT CONFUSED,True,True,0,0,0,0,0,
578,YOU NEED TO BE STRONG UP HERE,YOU NEED TO BE STRONG UP HERE,True,True,0,0,0,0,0,
579,MAKE SURE YOU NEVER GET DEPRESSED AGAIN,MAKE SURE YOU NEVER GET DEPRESSED AGAIN,True,True,0,0,0,0,0,
580,WITH BILLY NOT BEING YOURS,WITH BILLY NOT BEING YOURS,True,True,0,0,0,0,0,
581,WHEN IT COMES TO DESIGNING FABULOUS COSTUMES,WHEN IT COMES TO DESIGNING FABULOUS COSTUMES,True,True,0,0,0,0,0,
582,THEY ARE BATTLING TO BE CROWNED PRO CHALLENGE CHAMPION,THEY ARE BATTLING TO BE CROWNED PRO CHALLENGE CHAMPION,True,True,0,0,0,0,0,
583,THE PRIME MINISTER SLAPS HIM DOWN,THE PRIME MINISTER SLAPS HIM DOWN,True,True,0,0,0,0,0,
584,HOW BIG IS THAT,HOW BIG IS THAT,True,False,0,0,0,0,0,
585,SEPARATED FROM THAT,SEPARATED FROM THAT,True,False,0,0,0,0,0,
586,COMING IN ON THE OTHER SIDE,COMING IN ON THE OTHER SIDE,True,True,0,0,0,0,0,
587,WHAT DID YOU PUT IN THE MULLED WINE,WHAT DID YOU PUT IN THE MULLED WINE,True,True,0,0,0,0,0,
588,IT'S A TERRIBLE IDEA,IT'S A TERRIBLE IDEA,True,False,0,0,0,0,0,
589,YOU'VE REALLY MADE MY DAY,YOU'VE REALLY MADE MY DAY,True,True,0,0,0,0,0,
590,MEN WANT TO BE HIM,MEN WANT TO BE HIM,True,True,0,0,0,0,0,
591,HE ABSOLUTELY INSISTED ON WRITING HIS OWN INTRO,HE ABSOLUTELY INSISTED ON WRITING HIS OWN INTRO,True,False,0,0,0,0,0,
592,WITH FAMILY AND FRIENDS,WITH FAMILY AND FRIENDS,True,False,0,0,0,0,0,
593,IT'S ALL ABOUT THE STRICTLY PRO CHALLENGE,IT'S ALL ABOUT THE STRICTLY PROCHALLENGE,False,False,1,0,0,0,1,
594,THE SIX HIGHEST SCORING RUNNERS UP WILL QUALIFY,THE SIX HIGHEST SCORING RUNNERS UP WILL QUALIFY,True,False,0,0,0,0,0,
595,JUST BEFORE CHRISTMAS,JUST BEFORE CHRISTMAS,True,False,0,0,0,0,0,
596,I THINK SHE'S COMPLETELY BONKERS,I THINK SHE'S COMPLETELY BONKERS,True,True,0,0,0,0,0,
597,YOU ARE DYNAMIC,YOU ARE DYNAMIC,True,True,0,0,0,0,0,
598,IT'S ACTUALLY A SALSA,IT'S ACTUALLY A SALSA,True,False,0,0,0,0,0,
599,THE GARDEN OF ENGLAND,THE GARDEN OF ENGLAND,True,False,0,0,0,0,0,
600,YOU CAN GET A BETTER STRUCTURE,YOU CAN GET A BETTER STRUCTURE,True,True,0,0,0,0,0,
601,EVERY YEAR SINCE CHRISTMAS BEGAN,EVERY YEAR SINCE CHRISTMAS BEGAN,True,False,0,0,0,0,0,
602,WAY BACK IN THE EARLY,WAY BACK IN THE EARLY,True,True,0,0,0,0,0,
603,I ACTUALLY WANTED TO BE A HORSE,I ACTUALLY WANTED TO BE A HORSE,True,True,0,0,0,0,0,
604,USUALLY A BICYCLE,USUALLY A BICYCLE,True,False,0,0,0,0,0,
605,THROUGH THE ACCESSIBILITY TO THOSE CHILDREN,THROUGH THE ACCESSIBILITY TO THOSE CHILDREN,True,True,0,0,0,0,0,
606,LIKE MOST OTHER FORMS OF MODERN WARFARE,LIKE MOST OTHER FORMS OF MODERN WARFARE,True,False,0,0,0,0,0,
607,YOU DO LOVE YOUR DOLL,YOU DO LOVE YOUR DOLL,True,True,0,0,0,0,0,
608,THEY WERE INNOCENT AND CHARMING,THEY WERE INNOCENT AND CHARMING,True,False,0,0,0,0,0,
609,YOU WANT TO LOOK,YOU WANT TO LOOK,True,True,0,0,0,0,0,
610,OR IS IT THAT YOU ENJOY THOSE TOYS AND IT MAKES YOU INTO A DIFFERENT PERSON,OR IS IT THAT YOU ENJOY THOSE TOYS AND IT MAKES YOU INTO A DIFFERENT PERSON,True,True,0,0,0,0,0,
611,SPACE WAS STILL THE FINAL FRONTIER,SPACE WAS STILL THE FINAL FRONTIER,True,False,0,0,0,0,0,
612,IT LOOKS REALLY LIKE IT IS,IT LOOKS REALLY LIKE IT IS,True,False,0,0,0,0,0,
613,WHEN I GET HOME,WHEN I GET HOME,True,True,0,0,0,0,0,
614,THE BALL SHAPED ONE,THE BALL SHAPED ONE,True,True,0,0,0,0,0,
615,YOU SEE THAT PRESENT,YOU SEE THAT PRESENT,True,True,0,0,0,0,0,
616,SO WHAT HE DID TO GET ROUND THAT,SO WHAT HE DID TO GET ROUND THAT,True,True,0,0,0,0,0,
617,BUT IN THOSE DAYS,BUT IN THOSE DAYS,True,True,0,0,0,0,0,
618,IT BECOMES A FIRE ENGINE,IT BECOMES A FIRE ENGINE,True,False,0,0,0,0,0,
619,FOUR LITTLE TURTLES NAMED AFTER ITALIAN RENAISSANCE ARTISTS,FOUR LITTLE TURTLES NAMED AFTER ITALIAN RENAISSANCE ARTISTS,True,True,0,0,0,0,0,
620,SOME BURN BRIGHTLY FOR A YEAR OR TWO,SUMMER BRIGHTLY FOR A YEAR OR TWO,False,True,1,0,0,0,1,
621,IF YOU DIDN'T HAVE ONE,IF YOU DIDN'T HAVE ONE,True,True,0,0,0,0,0,
622,WHAT WAS ALL THAT ABOUT,WHAT WAS ALL THAT ABOUT,True,False,0,0,0,0,0,
623,ALREADY IN THE STATES,ALREADY IN THE STATES,True,True,0,0,0,0,0,
624,THE RIGHT PLACE,THE RIGHT PLACE,True,True,0,0,0,0,0,
625,NOTHING WRONG WITH THAT IDEA IN PRINCIPLE,NOTHING WRONG WITH THAT IDEA IN PRINCIPLE,True,True,0,0,0,0,0,
626,SAUSAGES IN BACON,SAUSAGES IN BACON,True,True,0,0,0,0,0,
627,CHRISTMAS PUDDING THAT NOBODY REALLY LIKES,CHRISTMAS PUDDING THAT NOBODY REALLY LIKES,True,False,0,0,0,0,0,
628,STICK SOME JAMES BOND ON,STICK SOME JAMES BOND ON,True,True,0,0,0,0,0,
629,THAT SOMEONE WAS GOING TO GET,THAT SOMEONE WAS GOING TO GET,True,True,0,0,0,0,0,
630,YOU CAN'T REALLY SAY,YOU CAN'T REALLY SAY,True,True,0,0,0,0,0,
631,NOT IN FRONT OF THE WHOLE FAMILY,NOT IN FRONT OF THE WHOLE FAMILY,True,True,0,0,0,0,0,
632,YOU UNFOLD THE BOARD,YOU UNFOLD THE BOARD,True,True,0,0,0,0,0,
633,IN VICTORIAN BRITAIN,INVICTORIAN BRITAIN,False,True,1,0,0,0,1,
634,ON THE ORDERS OF QUEEN VICTORIA,ON THE ORDERS OF QUEEN VICTORIA,True,False,0,0,0,0,0,
635,I THINK HE'S PERFECT,I THINK HE'S PERFECT,True,True,0,0,0,0,0,
636,WHEN IT COMES TO TOYS,WHEN IT COMES TO TOYS,True,True,0,0,0,0,0,
637,MAYBE NOT URANIUM,MAYBE NOT URIANIA,False,True,1,0,0,0,1,
638,BUT I LIKE TO SEE IT,BUT I LIKE TO SEE IT,True,True,0,0,0,0,0,
639,WE LIKE TO REMINISCE,WE LIKE TO REMINISCE,True,True,0,0,0,0,0,
640,THIS REALLY MAKES US THINK,THIS REALLY MAKES US THINK,True,False,0,0,0,0,0,
641,MAYBE THERE'S AN EXTENSIVE PATTERN,MAYBE THERE'S AN EXTENSIVE PATTERN,True,True,0,0,0,0,0,
642,WHEN THE ARCHAEOLOGISTS GOT TO WORK,WHEN THE ARCHAEOLOGISTS GOT TO WORK,True,True,0,0,0,0,0,
643,I'M TRYING NOT TO GET CARRIED AWAY,I'M TRYING NOT TO GET CARRIED AWAY,True,True,0,0,0,0,0,
644,IT REALLY WAS THAT BAD,IT REALLY WAS THAT BAD,True,False,0,0,0,0,0,
645,THEY WILL NOT DO,THEY WILL NOT DO,True,True,0,0,0,0,0,
646,LET'S TAKE A LOOK BEHIND THE SCENES AT HOW IT ALL CAME,LET'S TAKE A LOOK BEHIND THE SCENES AT HOW IT ALL CAME,True,False,0,0,0,0,0,
647,TIME NOW FOR OUR NEXT GUEST,TIME NOW FOR OUR NEXT GUEST,True,True,0,0,0,0,0,
648,OVER THE LAST 12 YEARS,OVER THE LAST 12 YEARS,True,True,0,0,0,0,0,
649,WHY SHOW ME THIS,WHY SHOW ME THIS,True,True,0,0,0,0,0,
650,I'M ON THE CASE,I'M ON THE CASE,True,False,0,0,0,0,0,
651,EVEN CHRISTMAS DAY,EVEN CHRISTMAS DAY,True,True,0,0,0,0,0,
652,BUT TOWARDS THE END,BUT TOWARDS THE END,True,True,0,0,0,0,0,
653,HE HAS NOT HELD BACK ANYTHING,HE HAS NOT HELD BACK ANYTHING,True,True,0,0,0,0,0,
654,BUT IT WAS SO DISCONCERTINGLY CALM IN THE STUDIO,BUT IT WAS SO DISCONCERTINGLY COME IN THE STUDIO,False,True,1,0,0,0,1,
655,HERE TO REVEAL THE SECRET TO GETTING YOUR HANDS ON THE TROPHY,HERE TO REVEAL THE SECRET TO GETTING YOUR HANDS ON THE TROPHY,True,True,0,0,0,0,0,
656,I SHOULDN'T SAY THOSE THINGS,I SHOULDN'T SAY THOSE THINGS,True,True,0,0,0,0,0,
657,WHAT ELSE CAN I BE,WHAT ELSE CAN I BE,True,True,0,0,0,0,0,
658,NOT WELL DRESSED,NOT WELL DRESSED,True,True,0,0,0,0,0,
659,SHE IS MARRIED NOW,SHE IS MARRIED NOW,True,False,0,0,0,0,0,
660,BEST AND HAPPIEST OF ALL,BEST AND HAPPIEST OF ALL,True,False,0,0,0,0,0,
661,THE TIME BEFORE HIM WAS HIS OWN,THE TIME BEFORE HIM WAS HIS OWN,True,True,0,0,0,0,0,
662,IT SOUNDS VERY GOOD,IT SOUNDS VERY GOOD,True,True,0,0,0,0,0,
663,SHE'S DEPRESSED ABOUT DADDY,SHE'S DEPRESSED ABOUT DADDY,True,False,0,0,0,0,0,
664,NOW YOU LISTEN TO ME,NOW YOU LISTEN TO ME,True,True,0,0,0,0,0,
665,EVERY WEEK HE COMES OUT,EVERY WEEK HE COMES OUT,True,True,0,0,0,0,0,
666,THE RIVALRY AND ALL THAT,THE RIVALRY AND ALL THAT,True,False,0,0,0,0,0,
667,LEAVE THAT TO ME,LEAVE THAT TO ME,True,True,0,0,0,0,0,
668,BUT FOR ALL THAT,BUT FOR ALL THAT,True,True,0,0,0,0,0,
669,I'D LIKE TO HELP YOU,I'D LIKE TO HELP YOU,True,True,0,0,0,0,0,
670,I DON'T WANT TO RESIGN,I DON'T WANT TO RESIGN,True,True,0,0,0,0,0,
671,WHICH IS INCREDIBLE,WHICH IS INCREDIBLE,True,True,0,0,0,0,0,
672,I HAD NO IDEA HOW MUCH,I HAD NO IDEA HOW MUCH,True,True,0,0,0,0,0,
673,SO LET'S FIND OUT WHO THAT WILL BE,SO LET'S FIND OUT WHO THAT WILL BE,True,True,0,0,0,0,0,
674,SOME DECENT SCORES,SOME DECENT SCORES,True,True,0,0,0,0,0,
675,THE PERFECT HOUSE,THE PERFECT HOUSE,True,False,0,0,0,0,0,
676,THE PERFECT FAMILY,THE PERFECT FAMILY,True,False,0,0,0,0,0,
677,THE FIRST MUSLIM WOMAN TO SERVE AS A CABINET MINISTER,THE FIRST MUSLIM WOMAN TO SERVE AS A CABINET MINISTER,True,True,0,0,0,0,0,
678,IT'S NOT THE MIDDLE AGES,IT'S NOT THE MIDDLE AGES,True,True,0,0,0,0,0,
679,HE DOESN'T OWN ME,HE DOESN'T OWN ME,True,False,0,0,0,0,0,
680,IT WAS ACTUALLY EXTREMELY WELL PLACED,IT WAS ACTUALLY EXTREMELY WELL PLACED,True,False,0,0,0,0,0,
681,PLEASE DON'T TRY TO VOTE IF YOU'RE WATCHING ON DEMAND,PLEASE DON'T TRY TO VOTE IF YOU'RE WATCHING ON DEMAND,True,True,0,0,0,0,0,
682,TENSION AND EMOTION,TENSION AND EMOTION,True,False,0,0,0,0,0,
683,AND IT'S PERFECT FOR TONIGHT,AND IT'S PERFECT FOR TONIGHT,True,True,0,0,0,0,0,
684,CAN THEY IMPROVE ON THAT SCORE AND POSSIBLY RUN AWAY WITH THE TROPHY,CAN THEY IMPROVE ON THAT SCORE AND POSSIBLY RUN AWAY WITH THE TROPHY,True,True,0,0,0,0,0,
685,THAT WAS WITHIN BUDGET,THAT WAS WITHIN BUDGET,True,False,0,0,0,0,0,
686,THE RISE OF MAY,THE RISE OF MAY,True,False,0,0,0,0,0,
687,PROPER STREET FOOD IS GREAT,PROPER STREET FOOD IS GREAT,True,True,0,0,0,0,0,
688,IF YOU CAN HAVE SEX,IF YOU CAN HAVE SEX,True,True,0,0,0,0,0,
689,TICKETS FOR THE MATCH,TICKETS FOR THE MATCH,True,True,0,0,0,0,0,
690,IT'S NOT A CAREER,IT'S NOT A CAREER,True,True,0,0,0,0,0,
691,FAME AND FORTUNE,FAME AND FORTUNE,True,False,0,0,0,0,0,
692,I'M NOT AFRAID OF BEING CHALLENGED,I'M NOT AFRAID OF BEING CHALLENGED,True,True,0,0,0,0,0,
693,THERE'S NO WRONG WAY,THERE'S NO WRONG WAY,True,True,0,0,0,0,0,
694,IT SEEMED TO BE,IT SEEMED TO BE,True,True,0,0,0,0,0,
695,I DO MISS IT A LITTLE BIT,I DO MISS IT A LITTLE BIT,True,True,0,0,0,0,0,
696,THIS IS ALL YOU,THIS IS ALL YOU,True,True,0,0,0,0,0,
697,BEFORE YOU KNOW IT,BEFORE YOU KNOW IT,True,True,0,0,0,0,0,
698,YOU GO TO BED WITH IT,YOU GO TO BED WITH IT,True,True,0,0,0,0,0,
699,AND YOUR FAMILY AND YOUR KIDS AND YOUR OTHER JOBS,AND YOUR FAMILY AND YOUR KIDS AND YOUR OTHER JOBS,True,False,0,0,0,0,0,
700,THAT WAS AMAZING,THAT WAS AMAZING,True,False,0,0,0,0,0,
701,THE LONGER YOU STAY IN,THE LONGER YOU STAY IN,True,True,0,0,0,0,0,
702,BECAUSE YOU WORK SO HARD,BECAUSE YOU WORK SO HARD,True,True,0,0,0,0,0,
703,IF YOU GO WRONG,IF YOU GO WRONG,True,True,0,0,0,0,0,
704,GO ABOUT TELLING HIM THAT,GO ABOUT TELLING HIM THAT,True,True,0,0,0,0,0,
705,FOR GOOD REASONS AND BAD REASONS,FOR GOOD REASONS AND BAD REASONS,True,True,0,0,0,0,0,
706,IF THEY START FROM HERE,IF THEY START FROM HERE,True,True,0,0,0,0,0,
707,OBSESSED WITH THIS SHOW,OBSESSED WITH THIS SHOW,True,False,0,0,0,0,0,
708,IF I HAD MY WAY,IF I HAD MY WAY,True,True,0,0,0,0,0,
709,IF WE HAVE A LITTLE ARGUMENT,IF WE HAVE A LITTLE ARGUMENT,True,True,0,0,0,0,0,
710,SO WHEN HE GETS GRUMPY IT'S LIKE,SO WHEN HE GETS GRUMPY IT'S LIKE,True,True,0,0,0,0,0,
711,LET'S SAY FOR EXAMPLE,LET'S SAY FOR EXAMPLE,True,True,0,0,0,0,0,
712,I'M SURE YOU CAN IMAGINE,I'M SURE YOU CAN IMAGINE,True,True,0,0,0,0,0,
713,SHE IS HYSTERICAL,SHE IS HYSTERICAL,True,False,0,0,0,0,0,
714,VERY HIGH LEVEL,VERY HIGH LEVEL,True,True,0,0,0,0,0,
715,GOING ALL OVER THE WORLD,GOING ALL OVER THE WORLD,True,False,0,0,0,0,0,
716,PEOPLE ARE HAPPY TO BE THERE AND IT'S A GOOD VIBE,PEOPLE ARE HAPPY TO BE THERE AND IT'S A GOOD VIBE,True,True,0,0,0,0,0,
717,EVERYWHERE YOU TURN,EVERYWHERE YOU TURN,True,True,0,0,0,0,0,
718,BECAUSE THEY'VE GOT TO,BECAUSE THEY'VE GOT TO,True,True,0,0,0,0,0,
719,JUST WORKING WITH HIM EVERY WEEK IS SUCH A TREAT,JUST WORKING WITH HIM EVERY WEEK IS SUCH A TREAT,True,True,0,0,0,0,0,
720,WHICH WAS QUITE AMUSING,WHICH WAS QUITE AMUSING,True,True,0,0,0,0,0,
721,THAT'S A PICKLED WALNUT,THAT'S A PICKLED WALNUT,True,False,0,0,0,0,0,
722,YOU HAVE TO GO AND BUY BISCUITS,YOU HAVE TO GO AND BUY BISCUITS,True,True,0,0,0,0,0,
723,THEY ALL CAME AND WENT,THEY ALL CAME AND WENT,True,False,0,0,0,0,0,
