target,prediction,target_phonemes,prediction_phonemes,is_homophone,exact_match,comment,bucket,bucket_reason
AND YOU KNOW WHAT THIS MEANS,AND YOU KNOW WHAT THIS MEANS,AH N D | Y UW | N OW | W AH T | DH IH S | M IY N Z,AH N D | Y UW | N OW | W AH T | DH IH S | M IY N Z,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
WE MIGHT FIND SOME MARITIME MEMORABILIA,WE MIGHT FIND SOME MARATIME MEMORABILIA,W IY | M AY T | F AY N D | S AH M | M EH R AH T AY M | M EH M ER AH B IY L Y AH,W IY | M AY T | F AY N D | S AH M | ? | M EH M ER AH B IY L Y AH,True,False,,non_word_spelling,prediction has CMU OOV; phoneme-word counts equal (6)
IT'S A WONDERFUL,IT'S A WONDERFUL,IH T S | AH | W AH N D ER F AH L,IH T S | AH | W AH N D ER F AH L,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
STOCKS AND SHARES,STOCKS AND SHARES,S T AA K S | AH N D | SH EH R Z,S T AA K S | AH N D | SH EH R Z,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT OFFERING GOD,AH N D | IH N | DH AH | P R AA S EH S | AH V | M IY | N AA T | AH F EH N D IH NG | G AA D,AH N D | IH N | DH AH | P R AA S EH S | AH V | M IY | N AA T | AO F ER IH NG | G AA D,True,False,,homophone_substitution,phoneme overlap 8/9=0.89 (high)
I DON'T CARE WHAT THE COST IS,I DON'T CARE WHAT THE COST IS,AY | D OW N T | K EH R | W AH T | DH AH | K AA S T | IH Z,AY | D OW N T | K EH R | W AH T | DH AH | K AA S T | IH Z,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,BECAUSE THE WHOLE POINT OF 9/11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,B IH K AO Z | DH AH | HH OW L | P OY N T | AH V | ? | ? | IH Z | DH AE T | IH T S | DH AH | JH AH S T AH F AH K EY SH AH N | F AO R | DH AH | P AH L IY S | S T EY T,B IH K AO Z | DH AH | HH OW L | P OY N T | AH V | ? | IH Z | DH AE T | IH T S | DH AH | JH AH S T AH F AH K EY SH AH N | F AO R | DH AH | P AH L IY S | S T EY T,True,False,,homophone_substitution,phoneme overlap 13/13=1.00 (high)
AND I GUESS THAT'S WHAT'S HAPPENING HERE,AND I GUESS THAT'S WHAT'S HAPPENING HERE,AH N D | AY | G EH S | DH AE T S | W AH T S | HH AE P AH N IH NG | HH IY R,AH N D | AY | G EH S | DH AE T S | W AH T S | HH AE P AH N IH NG | HH IY R,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
AND FROM WHAT I'VE HEARD,AND FROM WHAT I'VE HEARD,AH N D | F R AH M | W AH T | AY V | HH ER D,AH N D | F R AH M | W AH T | AY V | HH ER D,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
AND IT'S ALL ABOUT THE CONTEXT,AND IT'S ALL ABOUT THE CONTEXT,AH N D | IH T S | AO L | AH B AW T | DH AH | K AA N T EH K S T,AH N D | IH T S | AO L | AH B AW T | DH AH | K AA N T EH K S T,False,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
CHILD OF THE MILLENNIUM,CHILD OF THE MOLYNEUX,CH AY L D | AH V | DH AH | M AH L EH N IY AH M,CH AY L D | AH V | DH AH | ?,False,False,"near-homophone substitution: shared M AH L EH N onset, divergent ending; MOLYNEUX is a surname",non_word_spelling,prediction has CMU OOV; phoneme-word counts equal (4)
TWO APPOINTMENTS LATER,TWO APPOINTMENTS LATER,T UW | AH P OY N T M AH N T S | L EY T ER,T UW | AH P OY N T M AH N T S | L EY T ER,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
THE MAN WHO CARES ABOUT ANIMALS,THE MAN WHO CARES ABOUT ANIMALS,DH AH | M AE N | HH UW | K EH R Z | AH B AW T | AE N AH M AH L Z,DH AH | M AE N | HH UW | K EH R Z | AH B AW T | AE N AH M AH L Z,False,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
GUESS WHAT I'M TALKING ABOUT RIGHT NOW,GUESS WHAT I'M TALKING ABOUT RIGHT NOW,G EH S | W AH T | AY M | T AO K IH NG | AH B AW T | R AY T | N AW,G EH S | W AH T | AY M | T AO K IH NG | AH B AW T | R AY T | N AW,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HERE TO GIVE US A RUN DOWN OF THE GREATEST FAMILIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HH IY R | T UW | G IH V | AH S | AH | R AH N D AW N | AH V | DH AH | G R EY T AH S T | F EY SH AH L | K AO R IY AA G R AH F IY | EH V ER | S IY N | AA N | DH AH | B AA K S,HH IY R | T UW | G IH V | AH S | AH | R AH N | D AW N | AH V | DH AH | G R EY T AH S T | F AH M IH L Y AH L | K AO R IY AA G R AH F IY | EH V ER | S IY N | AA N | DH AH | B AA K S,True,False,,homophone_substitution,phoneme overlap 13/16=0.81 (high)
FACE TO REALLY TELL THE STORY,FACE TO REALLY TELL THE STORY,F EY S | T UW | R IH L IY | T EH L | DH AH | S T AO R IY,F EY S | T UW | R IH L IY | T EH L | DH AH | S T AO R IY,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
GET YOURSELF OVER HERE BECAUSE FIRST UP TONIGHT,GET YOURSELF OVER HERE BECAUSE FIRST UP TONIGHT,G EH T | Y ER S EH L F | OW V ER | HH IY R | B IH K AO Z | F ER S T | AH P | T AH N AY T,G EH T | Y ER S EH L F | OW V ER | HH IY R | B IH K AO Z | F ER S T | AH P | T AH N AY T,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
IF YOU WANT TO KNOW WHAT THE KIDS ARE LISTENING TO THESE DAYS,IF YOU WANT TO KNOW WHAT THE KIDS ARE LISTENING TO THESE DAYS,IH F | Y UW | W AA N T | T UW | N OW | W AH T | DH AH | K IH D Z | AA R | L IH S AH N IH NG | T UW | DH IY Z | D EY Z,IH F | Y UW | W AA N T | T UW | N OW | W AH T | DH AH | K IH D Z | AA R | L IH S AH N IH NG | T UW | DH IY Z | D EY Z,True,True,,homophone_substitution,phoneme overlap 12/12=1.00 (high)
LOUISE AND KEVIN,LOUISE AND KEVIN,L UW IY Z | AH N D | K EH V IH N,L UW IY Z | AH N D | K EH V IH N,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
AND IT'S THE ONE THAT,AND IT'S THE ONE THAT,AH N D | IH T S | DH AH | W AH N | DH AE T,AH N D | IH T S | DH AH | W AH N | DH AE T,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
THAT WAS BEAUTIFUL,THAT WAS BEAUTIFUL,DH AE T | W AA Z | B Y UW T AH F AH L,DH AE T | W AA Z | B Y UW T AH F AH L,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
ON INTERNATIONAL WOMEN'S DAY,ON INTERNATIONAL WOMEN'S DAY,AA N | IH N T ER N AE SH AH N AH L | W IH M AH N Z | D EY,AA N | IH N T ER N AE SH AH N AH L | W IH M AH N Z | D EY,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
AND WENT ON THE ORDINARY WING,AND WENT ON THE ORDINARY WING,AH N D | W EH N T | AA N | DH AH | AO R D AH N EH R IY | W IH NG,AH N D | W EH N T | AA N | DH AH | AO R D AH N EH R IY | W IH NG,False,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER,DH AH | D UW K | AH V | G L AO S T ER,DH AH | D UW K | AH V | G L AA S T ER,False,False,homophone substitution: GLOUCESTER -> GLOSTER (silent U dropped),homophone_substitution,phoneme overlap 3/4=0.75 (high)
AND YOU KNOW THAT,AND YOU KNOW THAT,AH N D | Y UW | N OW | DH AE T,AH N D | Y UW | N OW | DH AE T,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
WE HAVE THE DELECTABLE NEIL JONES,WE HAVE THE DELICATE ALUMNI,W IY | HH AE V | DH AH | D IH L EH K T AH B AH L | N IY L | JH OW N Z,W IY | HH AE V | DH AH | D EH L AH K AH T | AH L AH M N AY,True,False,,homophone_substitution,phoneme overlap 3/6=0.50 (high)
THAT WAS SOME TIME AGO,THAT WAS SOME TIME AGO,DH AE T | W AA Z | S AH M | T AY M | AH G OW,DH AE T | W AA Z | S AH M | T AY M | AH G OW,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
REAL FRIENDS THAT CARE ABOUT ME,REAL FRIENDS THAT CARE ABOUT ME,R IY L | F R EH N D Z | DH AE T | K EH R | AH B AW T | M IY,R IY L | F R EH N D Z | DH AE T | K EH R | AH B AW T | M IY,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
CLEARLY THEY DO,CLEARLY THEY DO,K L IH R L IY | DH EY | D UW,K L IH R L IY | DH EY | D UW,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
YOU DON'T NEED IT,YOU DON'T NEED IT,Y UW | D OW N T | N IY D | IH T,Y UW | D OW N T | N IY D | IH T,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THE REASON BEING,THE REASON BEING,DH AH | R IY Z AH N | B IY IH NG,DH AH | R IY Z AH N | B IY IH NG,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
THE PRESIDENT'S CHAIR,THE PRESIDENT'S CHAIR,DH AH | P R EH Z IH D AH N T S | CH EH R,DH AH | P R EH Z IH D AH N T S | CH EH R,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
NOT TO THINK FOR THEMSELVES,NOT TO THINK FOR THEMSELVES,N AA T | T UW | TH IH NG K | F AO R | DH EH M S EH L V Z,N AA T | T UW | TH IH NG K | F AO R | DH EH M S EH L V Z,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
WITH MY BLESSING,WITH MY BLESSING,W IH DH | M AY | B L EH S IH NG,W IH DH | M AY | B L EH S IH NG,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
THAT'S THE MESSAGE FROM INDEPENDENT ECONOMISTS AFTER THE CHANCELLOR'S AUTUMN STATEMENT,THAT'S THE MESSAGE FROM INDEPENDENT ECONOMISTS AFTER THE CHANCELLOR'S AUTUMN STATEMENT,DH AE T S | DH AH | M EH S AH JH | F R AH M | IH N D IH P EH N D AH N T | IH K AA N AH M IH S T S | AE F T ER | DH AH | CH AE N S AH L ER Z | AO T AH M | S T EY T M AH N T,DH AE T S | DH AH | M EH S AH JH | F R AH M | IH N D IH P EH N D AH N T | IH K AA N AH M IH S T S | AE F T ER | DH AH | CH AE N S AH L ER Z | AO T AH M | S T EY T M AH N T,False,True,,homophone_substitution,phoneme overlap 10/10=1.00 (high)
AND WITH THAT IN MIND,AND WITH THAT IN MIND,AH N D | W IH DH | DH AE T | IH N | M AY N D,AH N D | W IH DH | DH AE T | IH N | M AY N D,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
HIS FATHER DIED,HIS FATHER DIED,HH IH Z | F AA DH ER | D AY D,HH IH Z | F AA DH ER | D AY D,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
NOT JUST HERE IN NOTTINGHAMSHIRE,NOT JUST HERE IN NOTTINGHAMSHIRE,N AA T | JH AH S T | HH IY R | IH N | ?,N AA T | JH AH S T | HH IY R | IH N | ?,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
BUT IT SEEMS THE PENDANT IS TO EVERYONE'S PERSONAL TASTE,BUT IT SEEMS THE PENDANT IS TO EVERYONE'S PERSONAL TASTE,B AH T | IH T | S IY M Z | DH AH | P EH N D AH N T | IH Z | T UW | EH V R IY W AH N Z | P ER S IH N IH L | T EY S T,B AH T | IH T | S IY M Z | DH AH | P EH N D AH N T | IH Z | T UW | EH V R IY W AH N Z | P ER S IH N IH L | T EY S T,True,True,,homophone_substitution,phoneme overlap 10/10=1.00 (high)
IT'S TIME TO FIND OUT IF NIGEL,IT'S TIME TO FIND OUT IF NIGEL,IH T S | T AY M | T UW | F AY N D | AW T | IH F | N AY JH AH L,IH T S | T AY M | T UW | F AY N D | AW T | IH F | N AY JH AH L,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
REMEMBER THAT MAN WITH THE CAMERA,REMEMBER THAT MAN WITH THE CAMERA,R IH M EH M B ER | DH AE T | M AE N | W IH DH | DH AH | K AE M ER AH,R IH M EH M B ER | DH AE T | M AE N | W IH DH | DH AH | K AE M ER AH,False,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
AND YOU CAN FOLLOW US,AND YOU CAN FOLLOW US,AH N D | Y UW | K AE N | F AA L OW | AH S,AH N D | Y UW | K AE N | F AA L OW | AH S,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
BUT IT'S NOT ALL BAD NEWS,BUT IT'S NOT ALL BAD NEWS,B AH T | IH T S | N AA T | AO L | B AE D | N UW Z,B AH T | IH T S | N AA T | AO L | B AE D | N UW Z,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
I DO KNOW WHAT IT MEANS,I DO KNOW WHAT IT MEANS,AY | D UW | N OW | W AH T | IH T | M IY N Z,AY | D UW | N OW | W AH T | IH T | M IY N Z,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
AFTER ALL I'VE BEEN THROUGH,AFTER ALL I'VE BEEN THROUGH,AE F T ER | AO L | AY V | B IH N | TH R UW,AE F T ER | AO L | AY V | B IH N | TH R UW,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
I WANT TO TALK ABOUT DADDY TOO,I WANT TO TALK ABOUT DADDY TO,AY | W AA N T | T UW | T AO K | AH B AW T | D AE D IY | T UW,AY | W AA N T | T UW | T AO K | AH B AW T | D AE D IY | T UW,True,False,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
EVERYONE WAS BLOWN AWAY,EVERYONE WAS BLOWN AWAY,EH V R IY W AH N | W AA Z | B L OW N | AH W EY,EH V R IY W AH N | W AA Z | B L OW N | AH W EY,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
WE STILL HAVE ALL OF THIS TO COME,WE STILL HAVE ALL OF THIS TO COME,W IY | S T IH L | HH AE V | AO L | AH V | DH IH S | T UW | K AH M,W IY | S T IH L | HH AE V | AO L | AH V | DH IH S | T UW | K AH M,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
I WANT TO TAKE A SELFIE,I WANT TO TAKE A SELFIE,AY | W AA N T | T UW | T EY K | AH | ?,AY | W AA N T | T UW | T EY K | AH | ?,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
RESCUING A DAMSEL IN DISTRESS,RESCUING A DAMSEL IN DISTRESS,R EH S K Y UW IH NG | AH | D AE M Z AH L | IH N | D IH S T R EH S,R EH S K Y UW IH NG | AH | D AE M Z AH L | IH N | D IH S T R EH S,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
ALL OF THAT COULD CHANGE,ALL OF THAT COULD CHANGE,AO L | AH V | DH AE T | K UH D | CH EY N JH,AO L | AH V | DH AE T | K UH D | CH EY N JH,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
BUT WHAT EXACTLY IS IT,BUT WHAT EXACTLY IS IT,B AH T | W AH T | IH G Z AE K T L IY | IH Z | IH T,B AH T | W AH T | IH G Z AE K T L IY | IH Z | IH T,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
HOW DOES IT WORK,HOW DOES IT WORK,HH AW | D AH Z | IH T | W ER K,HH AW | D AH Z | IH T | W ER K,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THERE'S ALWAYS HISTORICAL TREASURES TO LOOK AT,THERE'S ALWAYS HISTORICAL TREASURES TO LOOK AT,DH EH R Z | AO L W EY Z | HH IH S T AO R IH K AH L | T R EH ZH ER Z | T UW | L UH K | AE T,DH EH R Z | AO L W EY Z | HH IH S T AO R IH K AH L | T R EH ZH ER Z | T UW | L UH K | AE T,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
FAST AND FURIOUS,FAST AND FURIOUS,F AE S T | AH N D | F Y UH R IY AH S,F AE S T | AH N D | F Y UH R IY AH S,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
AND LATER IN TURN,AND LATER IN TURN,AH N D | L EY T ER | IH N | T ER N,AH N D | L EY T ER | IH N | T ER N,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
HE MOVED AROUND A LOT,HE MOVED AROUND A LOT,HH IY | M UW V D | ER AW N D | AH | L AA T,HH IY | M UW V D | ER AW N D | AH | L AA T,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
AS IS THE TITLE OF THIS POEM,AS IS THE TITLE OF THIS POEM,AE Z | IH Z | DH AH | T AY T AH L | AH V | DH IH S | P OW AH M,AE Z | IH Z | DH AH | T AY T AH L | AH V | DH IH S | P OW AH M,False,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
FOUR KILOMETRES WITHOUT EVEN REALLY THINKING ABOUT IT,FOUR KILOMETRES WITHOUT EVEN REALLY THINKING ABOUT IT,F AO R | ? | W IH TH AW T | IY V IH N | R IH L IY | TH IH NG K IH NG | AH B AW T | IH T,F AO R | ? | W IH TH AW T | IY V IH N | R IH L IY | TH IH NG K IH NG | AH B AW T | IH T,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
IN THE HIGHWAY CODE ITSELF,IN THE HIGHWAY CODE ITSELF,IH N | DH AH | HH AY W EY | K OW D | IH T S EH L F,IH N | DH AH | HH AY W EY | K OW D | IH T S EH L F,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
SO IN THE MEANTIME,SO IN THE MEANTIME,S OW | IH N | DH AH | M IY N T AY M,S OW | IH N | DH AH | M IY N T AY M,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THROUGH ANTIBODY DIRECTED THERAPY,THROUGH ANTIBODY DIRECTED THERAPY,TH R UW | AE N T IH B AA D IY | D ER EH K T AH D | TH EH R AH P IY,TH R UW | AE N T IH B AA D IY | D ER EH K T AH D | TH EH R AH P IY,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
AND I FEEL VERY,AND I FEEL VERY,AH N D | AY | F IY L | V EH R IY,AH N D | AY | F IY L | V EH R IY,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
I'M YOUR SIMON COWELL,I'M YOUR SIMON COWELL,AY M | Y AO R | S AY M AH N | K AA W EH L,AY M | Y AO R | S AY M AH N | K AA W EH L,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
I JUST CAN'T SEEM TO WIN,I JUST CAN'T SEEM TO WIN,AY | JH AH S T | K AE N T | S IY M | T UW | W IH N,AY | JH AH S T | K AE N T | S IY M | T UW | W IH N,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
IT'LL BE A BRILLIANT SUCCESS,IT'LL BE A BRILLIANT SUCCESS,IH T AH L | B IY | AH | B R IH L Y AH N T | S AH K S EH S,IH T AH L | B IY | AH | B R IH L Y AH N T | S AH K S EH S,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
HE RETRIEVED THE FLAG,HE RETRIEVED THE FLAG,HH IY | R IY T R IY V D | DH AH | F L AE G,HH IY | R IY T R IY V D | DH AH | F L AE G,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
I'M STRUGGLING WITH THAT ONE,I'M STRUGGLING WITH THAT ONE,AY M | S T R AH G AH L IH NG | W IH DH | DH AE T | W AH N,AY M | S T R AH G AH L IH NG | W IH DH | DH AE T | W AH N,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
HE'S A LATIN SENSATION,HE'S A LATIN SENSATION,HH IY Z | AH | L AE T AH N | S EH N S EY SH AH N,HH IY Z | AH | L AE T AH N | S EH N S EY SH AH N,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
BORN INTO A FAMILY OF DANCERS,BORN INTO A FAMILY OF DANCERS,B AO R N | IH N T UW | AH | F AE M AH L IY | AH V | D AE N S ER Z,B AO R N | IH N T UW | AH | F AE M AH L IY | AH V | D AE N S ER Z,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
I MADE A FEW CALLS,I MADE A FEW CALLS,AY | M EY D | AH | F Y UW | K AO L Z,AY | M EY D | AH | F Y UW | K AO L Z,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
AS WELL AS THE GREEN MAN,AS WELL AS THE GREEN MAN,AE Z | W EH L | AE Z | DH AH | G R IY N | M AE N,AE Z | W EH L | AE Z | DH AH | G R IY N | M AE N,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
THIS IS EXTREMELY RARE AND VALUABLE,THIS IS EXTREMELY RARE AND VALUABLE,DH IH S | IH Z | IH K S T R IY M L IY | R EH R | AH N D | V AE L Y AH B AH L,DH IH S | IH Z | IH K S T R IY M L IY | R EH R | AH N D | V AE L Y AH B AH L,False,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
NOT FOR SUBJECT MATTER,NOT FOR SUBJECT MATTER,N AA T | F AO R | S AH B JH EH K T | M AE T ER,N AA T | F AO R | S AH B JH EH K T | M AE T ER,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
I HASTEN TO ADD,I HESITANT TO AD,AY | HH EY S AH N | T UW | AE D,AY | HH EH Z IH T AH N T | T UW | AE D,True,False,,homophone_substitution,phoneme overlap 3/4=0.75 (high)
HERE ON THE DAY,HERE ON THE DAY,HH IY R | AA N | DH AH | D EY,HH IY R | AA N | DH AH | D EY,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
BUT I FELT HE WAS EXPOSED,BUT I FELT HE WAS EXPOSED,B AH T | AY | F EH L T | HH IY | W AA Z | IH K S P OW Z D,B AH T | AY | F EH L T | HH IY | W AA Z | IH K S P OW Z D,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
AND YOU AND HIM,AND YOU AND HIM,AH N D | Y UW | AH N D | HH IH M,AH N D | Y UW | AH N D | HH IH M,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
WILL APPEAR IN COURT NEXT MONTH,WILL APPEAR IN COURT NEXT MONTH,W IH L | AH P IH R | IH N | K AO R T | N EH K S T | M AH N TH,W IH L | AH P IH R | IH N | K AO R T | N EH K S T | M AH N TH,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
AND THE CHAMPAGNE,AND THE CHAMPAGNE,AH N D | DH AH | SH AE M P EY N,AH N D | DH AH | SH AE M P EY N,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
BEFORE WE BRING ON OUR NEXT CONTENDER,BEFORE WE BRING ON OUR NEXT CONTENDER,B IH F AO R | W IY | B R IH NG | AA N | AW ER | N EH K S T | K AH N T EH N D ER,B IH F AO R | W IY | B R IH NG | AA N | AW ER | N EH K S T | K AH N T EH N D ER,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
IF YOU'VE GOT A QUESTION FOR EITHER OF THEM,IF YOU'VE GOT A QUESTION FOR EITHER OF THEM,IH F | Y UW V | G AA T | AH | K W EH S CH AH N | F AO R | IY DH ER | AH V | DH EH M,IH F | Y UW V | G AA T | AH | K W EH S CH AH N | F AO R | IY DH ER | AH V | DH EH M,True,True,,homophone_substitution,phoneme overlap 9/9=1.00 (high)
SO TO DO BALLROOM,SO TO DO BALLROOM,S OW | T UW | D UW | B AO L R UW M,S OW | T UW | D UW | B AO L R UW M,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
I AM THE ULTIMATE POWER,I AM THE ULTIMATE POWER,AY | AE M | DH AH | AH L T AH M AH T | P AW ER,AY | AE M | DH AH | AH L T AH M AH T | P AW ER,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
IT IS THE QUARTER FINALS,IT IS THE QUARTER FINALS,IH T | IH Z | DH AH | K W AO R T ER | F AY N AH L Z,IH T | IH Z | DH AH | K W AO R T ER | F AY N AH L Z,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
WE HAD A BLAZING ROW,WE HAD A BLAZING ROW,W IY | HH AE D | AH | B L EY Z IH NG | R OW,W IY | HH AE D | AH | B L EY Z IH NG | R OW,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
THE FAMILY SEAT,THE FAMILY SEAT,DH AH | F AE M AH L IY | S IY T,DH AH | F AE M AH L IY | S IY T,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
PLEASE WELCOME JENNY ECLAIR,PLEASE WELCOME GENIE CLARKE,P L IY Z | W EH L K AH M | JH EH N IY | ?,P L IY Z | W EH L K AH M | JH IY N IY | K L AA R K,False,False,,oov_target_substitution,"target has CMU OOV, prediction is real word"
IT'S A MOVIE THEME,IT'S A MOVIE THEME,IH T S | AH | M UW V IY | TH IY M,IH T S | AH | M UW V IY | TH IY M,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THEY HAVE NO IDEA WHAT TO EXPECT,THEY HAVE NO IDEA WHAT TO EXPECT,DH EY | HH AE V | N OW | AY D IY AH | W AH T | T UW | IH K S P EH K T,DH EY | HH AE V | N OW | AY D IY AH | W AH T | T UW | IH K S P EH K T,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
TWO AND A HALF MINUTES FOR THAT ROUND,TWO AND A HALF MINUTES FOR THAT ROUND,T UW | AH N D | AH | HH AE F | M IH N AH T S | F AO R | DH AE T | R AW N D,T UW | AH N D | AH | HH AE F | M IH N AH T S | F AO R | DH AE T | R AW N D,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
I'M NOT SATISFIED,I'M NOT SATISFIED,AY M | N AA T | S AE T AH S F AY D,AY M | N AA T | S AE T AH S F AY D,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
IT'S ON OUR CABLE PACKAGE,IT'S ON OUR CABLE PACKAGE,IH T S | AA N | AW ER | K EY B AH L | P AE K AH JH,IH T S | AA N | AW ER | K EY B AH L | P AE K AH JH,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
WHEN WE SEE HIM,WHEN WE SEE HIM,W EH N | W IY | S IY | HH IH M,W EH N | W IY | S IY | HH IH M,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
YOU WANT ME TO BE HAPPY,YOU WANT ME TO BE HAPPY,Y UW | W AA N T | M IY | T UW | B IY | HH AE P IY,Y UW | W AA N T | M IY | T UW | B IY | HH AE P IY,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
WHAT SEASON WAS THAT,WHAT SEASON WAS THAT,W AH T | S IY Z AH N | W AA Z | DH AE T,W AH T | S IY Z AH N | W AA Z | DH AE T,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
NO FOOD LEFT OUT,NO FOOD LEFT OUT,N OW | F UW D | L EH F T | AW T,N OW | F UW D | L EH F T | AW T,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
I'LL MEET YOU AT THE PARTY,I'LL MEET YOU AT THE PARTY,AY L | M IY T | Y UW | AE T | DH AH | P AA R T IY,AY L | M IY T | Y UW | AE T | DH AH | P AA R T IY,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
